3b-swf-20110110-git	3b-swf-swc, 3b-swf
3bil-20101006-git	swf-writer-hack, avm2-lib, avm2-compile, avm2-asm, 3b-swf-writer
adw-charting-20110110-http	adw-charting-vecto, adw-charting-google, adw-charting
alexandria-20101107-git	alexandria-tests, alexandria
anaphora-0.9.3	anaphora-test, anaphora
archive_0.8	archive
arnesi-20101006-darcs	arnesi.slime-extras, arnesi.cl-ppcre-extras, arnesi
aromyxo-20101107-git	aromyxo
array-operations-20101006-git	array-operations
asdf-install-20101207-git	asdf-install
asdf-system-connections-20101006-darcs	asdf-system-connections
asn.1-4.14	asn.1
atdoc-20110110-git	blocks-world, atdoc
babel-20101107-darcs	babel-tests, babel-streams, babel
beirc-20101107-cvs	beirc
binary-types-20101006-git	binary-types
binge-20101006-http	binge
bk-tree-0.3	bk-tree
bknr-datastore-20110110-git	bknr.xml, bknr.utils, bknr.skip-list.test, bknr.skip-list, bknr.indices, bknr.impex, bknr.datastore, bknr.data.impex
black-tie-20101006-git	black-tie
blackthorn-engine-20110110-hg	blackthorn-stress-test, blackthorn-collision-test, blackthorn
bordeaux-fft-20101006-http	bordeaux-fft
bordeaux-threads-0.8.0	bordeaux-threads-test, bordeaux-threads
bourbaki-20110110-http	bourbaki
buildapp-1.1	buildapp
calispel-0.1	calispel
cells-20101207-git	cells
cells-gtk3-20110110-git	pod-utils, ph-maths
cffi_0.10.6	cffi-uffi-compat, cffi-tests, cffi-grovel, cffi-examples, cffi
ch-image-20101006-git	ch-image-test, ch-image
ch-util-20101006-git	ch-util-test, ch-util
chillax-20101207-git	chillax.yason, chillax.view-server, chillax.core, chillax
chipz_0.7.4	chipz
chronicity-v0.2.6	chronicity-test, chronicity
chunga-1.1.1	chunga
cl+ssl-20101006-cvs	cl+ssl
cl-2d-20101107-git	cl-2d
cl-azure-20110110-git	cl-azure
cl-base64-20101006-git	cl-base64-tests, cl-base64
cl-beanstalk-20110110-git	cl-beanstalk
cl-bencode-20101107-git	bencode
cl-bibtex-20110110-cvs	bibtex
